"","STATE","CA","COND","MG","Sodium","ANC","CL","NH4","NO3","NTL","PTL"
"1","WA",196.4,58.48,362.1,48,572.4,20.9,0.4,2.1,55,1
"2","WA",161.9,28.82,26.4,75.1,192.3,20.3,0.2,5,95,2
"3","WA",982.5,123.2,206.2,100,1171.9,9.9,0.4,7.1,118,0
"4","WA",643.2,70.07,25,38.8,553.6,9.3,0.3,2.9,46,0
"5","WA",1396.7,200.7,427.5,295.4,1816.4,39.2,0.6,2.1,109,25
"6","WA",576.3,73.96,50.8,60.5,493.8,20.3,0.4,0,24,3
"7","WA",278,59.5,135.8,166.4,453.2,48.8,0.6,25.7,383.75,3.34875
"8","WA",198.2,40.72,79.6,62,273.8,7.9,0.4,2.9,66.25,1.09625
"9","WA",288.9,50.79,86,132.1,417.1,32.2,0.6,0,42.5,2.47875
"11","WA",883.2,231,1688.9,64,2463.1,13.3,0.4,1.4,38.125,1.19875
"12","WA",455.8,121.2,274.4,438,765.6,172.6,0.9,78.5,1241.875,7.47
"13","WA",145,35.34,83.7,111.7,317.6,18.5,0.3,3.4,66,9.043
"14","WA",62.7,12.4,13.4,31.7,87.8,8.7,0.3,2.1,34.375,2.72
"15","WA",502,70.4,116.1,99.4,656,5.6,0.4,0,64,8.19
"16","WA",74.2,13.71,17.8,17.8,88.2,4.5,0.4,2.1,39,2.16
"17","WA",903.7,183.9,1069.4,94.8,1867.5,33,0.6,0,46,3.413
"18","WA",849.3,176.2,983.9,87.8,1816.2,32.7,0.6,1.4,41,3.881
"19","WA",1685.1,313,1399.3,397,3326.3,19.7,0.4,0,50,3.968
"20","WA",151.6,22.93,31.8,29.1,179.2,6.2,0.4,3.6,46.875,1.3525
"21","WA",151.1,27.4,40.8,48.9,158.1,10.2,0.4,4.3,55,1.43
"22","WA",79.1,24.06,49.1,55,153.4,7.1,0.4,1.4,46.875,3.8025
"23","WA",213.7,37.95,81.9,69.9,264.5,21.5,0.2,4,35,0.754
"24","WA",1318.4,255.9,1053,440.6,2726.1,22,0.4,0,86.875,20.99625
