"","STATE.1","AG_TOT","ASPCTDEG","ELEVMEAN","FOR_TOT","KM_SEA","POPDENKM","PRECIP_M","RD_DEN","RNG_TOT","SLOPMEAN","WSAREA","W1_HALL","LAT_DD","LON_DD"
"1","WA",0,38,1568,71.71,98,0.016,2.441,0,18.52,27.19,63.6483,0,47.63122,120.96894
"2","WA",0,310,1263.5,80.64,60,0.205,3.031,0,11,25.51,14.6645,0.803054545,47.44774,121.51269
"3","WA",0.37,155,1630.4,66.96,150,0.146,1.112,3.88,24.11,26.31,1135.042,1.484922727,48.50849,120.28161
"4","WA",0,174,1488.1,51.13,26,0,3.608,0,36.53,23.36,2.2885,0,47.65133,123.35231
"5","WA",1.04,109,1161,73.4,258,1.351,0.445,12.37,16.84,13.63,1664.4121,2.060609091,48.39025,118.74508
"6","WA",0,267,974.7,80.99,31,0.058,4.321,0.33,4.68,27.49,325.0005,0.553045455,47.81989,124.01959
"7","WA",0.05,228,227.9,94.32,24,1.42,3.084,11.16,0.05,7.86,3.5156,0,47.27658,123.45342
"8","WA",0,55,1526.3,72.98,95,0.032,1.848,0.01,18.08,26.63,61.704,0.33335,47.77337,120.92748
"9","WA",0.11,308,850.3,81.05,58,1.728,2.227,16.06,0.81,18.73,188.6136,0.33335,46.72199,122.15535
"11","WA",0,60,1345.2,70.7,124,0,0.858,19.45,28.97,21.36,0.5219,0,47.41879,120.67906
"12","WA",0,280,375.5,97.29,2,9.897,1.743,0.69,0.06,14.49,4.8517,0.181827273,48.6306,122.4367
"13","WA",0.04,280,1165.1,76.56,52,0,2.065,10.6,2.07,21.67,10.9793,1.5,46.89647,121.98878
"14","WA",0,296,1230.3,72.3,62,0.144,2.649,0,17.65,27.55,6.9289,0.33335,47.62097,121.49538
"15","WA",0,78,1558,71.87,138,0,0.988,1.65,26.67,23.82,21.3261,0.507581818,47.93462,120.30551
"16","WA",0,97,1619.8,54.23,88,0.012,3.622,0,23.66,28.98,80.4817,0,48.02028,120.97756
"17","WA",0,324,1194.3,68.66,125,0.045,0.873,18.05,28.39,24.95,155.3356,1.075768182,47.46304,120.65988
"18","WA",0,324,1201.6,68.36,125,0,0.876,17.82,28.68,24.91,151.5035,1.977272727,47.45026,120.65278
"19","WA",0,15,976.4,74.44,135,0.578,0.77,15.61,24.63,23.88,34.6052,0.75,47.43262,120.53316
"20","WA",0,166,1619.3,65.71,99,0.021,1.461,0.94,19.94,28.26,145.2825,0.393959091,48.02649,120.828
"21","WA",0,79,1426,69.47,91,0,2.877,0,22.4,30.99,48.5155,0.33335,47.94051,120.93223
"22","WA",0,89,1485.5,87.91,108,0,1.511,0,9.19,26.37,2.8274,0,47.69859,120.77602
"23","WA",0,293,1307.1,77.37,61,0,3.458,1.7,11.47,28.54,200.3467,0.477286364,48.09318,121.33997
"24","WA",0,331,1182.1,89.17,141,0,0.718,6.18,10.51,21.68,24.655,0.924259091,47.3599,120.45611
"25","WA",0,142,313.2,73.94,16,0,3.121,0,0.23,21.49,8.8551,0.484872727,47.69004,124.17229
"26","WA",0,206,152.5,76.38,18,0,2.125,11.02,0.18,15.27,5.9826,0.742454545,46.91606,123.58942
"27","WA",0,190,1168.9,94.22,117,0,2.491,0.43,3.16,25.85,33.7566,0,46.20903,121.79269
"28","WA",0,26,1799.8,54.67,96,0,2.616,0,15.38,28.19,0.6964,0,47.54551,121.04039
"29","WA",0,118,1422.9,76.45,85,0,2.113,1.6,15.14,24.94,126.6447,0.33335,46.77709,121.55199
"30","OR",0,121,1076,96.66,134,0,2.447,0,2.96,29.81,0.852,0,44.86339,122.27982
"31","WA",0,80,1344.6,81,101,0,1.421,0,5.51,12.9,1.0289,1.5,47.76982,120.84474
"32","WA",0,68,1641,49.84,96,0,1.562,0,34.56,35.83,1.479,0,48.03268,120.86401
"33","WA",0,32,1583.4,69.98,90,0.047,2.746,0,15.41,26.86,21.1333,0,47.64945,121.06659
"34","WA",76.71,79,759,14.58,339,2.992,0.415,11.61,6.35,3.35,96.5938,0.575786364,47.73425,117.66951
"35","WA",0,307,1314.4,98.34,338,1.538,1.233,22.41,0,13.66,1.9503,1.727359091,48.76751,117.75771
"36","WA",0,106,1501.4,75.57,103,0.023,2.263,0.35,15.41,26.14,214.5843,0.6667,47.61033,120.89884
"37","WA",0,235,1904.9,58.46,99,0,1.126,0,24.22,29.17,3.8718,0.712145455,48.09626,120.82736
"38","WA",0,110,1320.4,91.98,80,0,2.646,0,5.79,20.41,8.8953,0,47.86274,121.10128
"39","WA",9.74,142,1010.6,45.18,195,15.842,0.951,12.91,36.56,13.67,9728.1756,1.9016,46.3601,120.20952
"40","WA",0.94,149,1252.9,72.3,137,2.468,1.499,6.94,16.78,24.31,3081.5767,3.787990909,47.52283,120.47733
"41","OR",1.68,307,989.8,0.32,311,0.25,0.443,6.59,97.99,10.53,79.9168,1.83335,45.36827,119.44512
"42","OR",0,59,1910.1,92.12,300,0,0.689,16.85,7.95,16.41,2.5705,2.1667,42.56842,120.53169
"43","OR",50.44,190,168,46.59,65,21.52,1.31,18.27,1.87,8.3,11.7149,2.16675,45.33711,123.05414
"44","OR",0,344,1615.3,94.33,490,0,0.929,26.28,5.74,11.14,4.2784,1.075768182,45.11462,116.85546
"45","OR",5.34,309,635.5,84.77,81,12.781,1.509,16.47,6.69,16.87,1490.5186,2.037918182,43.94272,122.98016
"46","OR",5.25,290,704.8,84.47,15,8.298,1.287,13.3,7.56,17.44,10455.3247,4.280431818,43.656,123.72822
"47","OR",6.98,258,932.6,80.41,32,19.924,1.058,14.74,9.67,15.45,10097.4333,0.704563636,42.65605,124.00408
"48","OR",0.03,55,2034.1,67.56,192,0,1.359,5.21,14.08,11.08,21.6021,0.378804545,44.1384,121.59992
"49","OR",0,113,2047.3,80.5,296,0.172,0.837,16.58,11.2,9.97,5.8044,1.511133333,42.2377,120.57559
"50","OR",0,271,1250.2,80.11,311,0.08,0.516,18.59,19.47,11.2,62.6297,5.894036364,45.09665,119.60892
"51","OR",0,193,1375.1,86.69,347,0.057,0.648,29.15,13.37,4.94,17.4059,0.3788,45.02468,119.1499
"52","OR",0,15,1583,88.94,395,0,0.567,0,10.79,12.48,2.2524,0.863654545,44.65353,118.72859
"53","OR",0,286,1658.9,88.63,379,0.089,0.565,10.5,11.31,16.74,11.1958,0.431836364,44.30712,119.17495
"54","OR",0,154,1259.3,86.99,162,0,1.43,6.89,7.64,17.81,10.2187,0.939440909,45.24921,121.65964
"55","OR",0,250,1429.4,92.81,387,0,0.554,21.85,7.25,12.6,16.289,1.962331349,44.71049,118.80126
"56","OR",4.5,25,1279.7,45.95,209,4.244,0.519,12.79,46.39,6.47,24853.9498,4.310659091,45.05361,121.11735
"57","OR",0.54,295,1426.7,68.8,339,0.173,0.603,15.04,29.22,11.59,5181.6923,1.340959091,44.9201,119.3332
"58","OR",0,106,1507.3,33.44,355,0.048,0.497,12.26,66.03,11.65,41.283,2.159122727,44.09685,119.51709
"59","OR",2.85,14,1915.3,78.8,411,0.3,0.892,2.6,12.89,19.66,49.9762,2.396857143,44.39835,118.67973
"60","OR",0,126,1842.5,94.3,407,0,0.856,33.21,5.42,12.85,0.8972,1.954554545,44.67177,118.54373
"61","OR",66.23,312,302.4,29.23,92,7.506,1.547,11.43,2.99,7.2,60.7544,2.530386364,44.96688,122.79566
"62","OR",0.01,65,1544.7,82.25,198,0.592,1.162,15.22,6.12,5.67,1465.129,4.939472727,43.84517,121.46504
"63","OR",2.36,293,286.2,92.17,31,1.402,1.326,19.44,3.95,16.68,635.5669,0.424263636,43.98701,123.63981
"64","OR",0,18,1399.3,80.14,334,0.355,0.812,21.34,18.55,12.05,30.9653,3.704604545,45.2455,119.20877
"65","OR",0.56,295,1253.6,19.06,466,0.379,0.803,7.49,80.4,8.83,23.7355,1.545463636,44.89855,117.42313
"66","OR",0,300,118.1,90.93,5,1.618,2.008,14.79,4.18,24.3,6.1822,0.931840909,43.64969,124.09439
"67","OR",0.02,163,1119.7,31.79,339,0,0.456,10.08,68.22,11.18,29.6871,1.378804545,44.9714,119.29882
"68","OR",1.63,35,1221.9,46.63,295,0.647,0.469,10.2,51.53,13.3,363.1677,1.704572727,44.62217,120.20966
"69","OR",0,259,1652.2,94.42,380,0,0.788,0,5.58,19.79,7.2031,0,45.05124,118.66491
"70","OR",0,19,1405.7,73.56,301,0,0.493,16.43,26.45,4.32,12.5901,1.66675,44.99865,119.80257
"71","OR",0,221,1764.2,98.06,151,0.024,1.736,1.23,0.7,9.78,41.36,0.33335,43.64373,122.03084
"72","OR",0,231,1260.5,97.61,120,0,1.415,2.93,1.02,22.8,60.9614,0.075,43.33054,122.50774
"73","OR",0.06,169,2054.5,1.77,368,0.03,0.517,5.84,91.62,8.53,33.2479,0.33335,42.3827,119.72094
"74","OR",16.89,270,1461.5,46.14,356,0.177,0.442,10.22,36.87,6.88,322.0301,0,44.61828,119.29951
"75","OR",0,201,2502.9,7.84,447,0.076,1.218,0.41,61.68,26.76,13.1005,0.6667,42.59043,118.59834
"76","OR",0,170,2541.3,6.68,447,0,1.167,0,59.64,26.95,5.1748,0.6667,42.60206,118.59338
"77","OR",0.66,21,1558.7,88.61,220,0.026,0.608,19.75,5.88,4.55,349.8366,0.272736364,42.83172,121.45684
"78","OR",0,150,1843.7,88.35,181,0.152,1.475,8.1,8.4,10.29,72.4084,0.712154545,42.76615,122.05922
"79","OR",0.08,5,2001.6,1.07,366,0.032,0.498,5.18,98.67,10.69,31.5374,0.272740909,42.53102,119.68224
"80","OR",0.08,251,2109.8,10.77,360,0,0.531,0,89.02,17.87,15.2441,0.424245455,42.47762,119.78429
"81","OR",0.02,22,2014.4,6,486,0.045,0.515,3.27,93.83,12.48,44.4041,1.151563636,42.19177,118.21222
